province,schools_primary_public,schools_primary_private,schools_primary_total,teachers_primary_public,teachers_primary_private,teachers_primary_total,pupils_primary_public,pupils_primary_private,pupils_primary_total,special_library_a,special_library_b,special_library_c,special_library_total,school_library_a,school_library_b,school_library_c,school_library_total,academic_library_a,academic_library_b,academic_library_c,academic_library_total,public_library_a,public_library_b,public_library_c,public_library_total,public_library_all,reading_fondness_level,tgm_pre_reading,tgm_reading,tgm_post_reading,completion_elementary,completion_junior_high,completion_senior_high,villages_primary,villages_junior_high,villages_senior_high,villages_vocational,villages_university,eys_male,eys_female,education_25plus_male,education_25plus_female,literacy_male,literacy_female,literacy_total,region,facility_ratio_jhs,facility_ratio_shs,facility_ratio_vocational,facility_ratio_univ,school_density_primary,pupil_teacher_ratio,gap_eys,gap_literacy,gap_edu25plus,library_total_all,library_per_1000pupils,outcome_composite,eys_avg
DKI JAKARTA,1305.0,918.0,2223.0,22974.0,15697.0,38671.0,527062.0,211719.0,738781.0,28.0,20.0,6.0,54.0,70.0,75.0,403.0,548.0,27.0,13.0,2.0,42.0,10.0,18.0,43.0,71.0,715.0,57.23,51.41,55.61,61.89,98.66,95.85,88.1,264,254,219,209,128,13.65,13.91,71.89,64.7,99.81,99.61,99.71,Jawa,0.9621212121212122,0.8295454545454546,0.7916666666666666,0.48484848484848486,3.009010789394963,19.104264177290474,0.2599999999999998,-0.20000000000000284,-7.189999999999998,1359.0,1.8395167174033982,93.905,13.780000000000001
JAWA BARAT,16936.0,2634.0,19570.0,174913.0,41699.0,216612.0,3902286.0,645996.0,4548282.0,19.0,10.0,7.0,36.0,80.0,105.0,762.0,947.0,43.0,29.0,18.0,90.0,14.0,22.0,20.0,56.0,1129.0,59.19,53.93,57.81,63.24,99.09,91.42,66.47,5946,4356,2255,2051,481,12.9,13.16,44.8,36.54,99.43,98.35,98.9,Jawa,0.7325933400605449,0.37924655230406995,0.34493777329297004,0.08089471913891692,4.302723533853002,20.997368566838404,0.2599999999999998,-1.0800000000000125,-8.259999999999998,2202.0,0.4841388462720649,82.685,13.030000000000001
JAWA TENGAH,17140.0,1366.0,18506.0,148125.0,19434.0,167559.0,2253391.0,324853.0,2578244.0,12.0,6.0,6.0,24.0,464.0,492.0,843.0,1799.0,40.0,16.0,14.0,70.0,33.0,223.0,532.0,788.0,2681.0,57.11,52.18,55.87,60.84,98.42,90.64,58.35,8422,3701,1377,1185,294,12.96,13.15,33.21,28.74,97.1,93.36,95.2,Jawa,0.43944431251484206,0.1635003562099264,0.14070292092139633,0.03490857278556162,7.177753540782021,15.387081565299386,0.1899999999999995,-3.739999999999995,-4.470000000000002,4574.0,1.7740756887245739,76.775,13.055
DI YOGYAKARTA,1414.0,424.0,1838.0,14295.0,5856.0,20151.0,179962.0,83093.0,263055.0,5.0,6.0,3.0,14.0,442.0,119.0,390.0,951.0,26.0,15.0,15.0,56.0,18.0,37.0,74.0,129.0,1150.0,55.44,50.63,54.12,59.25,98.95,97.02,89.69,437,312,151,138,66,15.73,15.86,57.19,52.67,97.84,94.11,95.93,Jawa,0.7139588100686499,0.34553775743707094,0.3157894736842105,0.15102974828375287,6.987131968599723,13.05419085901444,0.129999999999999,-3.730000000000004,-4.519999999999996,2171.0,8.253026933531011,92.81,15.795
JAWA TIMUR,16790.0,2133.0,18923.0,153548.0,26765.0,180313.0,2079218.0,409530.0,2488748.0,9.0,3.0,9.0,21.0,542.0,348.0,1754.0,2644.0,54.0,24.0,27.0,105.0,21.0,248.0,246.0,515.0,3285.0,58.86,53.62,57.9,62.29,98.78,90.74,68.65,8442,4961,2620,1698,465,13.34,13.66,39.26,31.58,96.96,92.82,94.85,Jawa,0.5876569533285951,0.3103529969201611,0.20113717128642503,0.055081734186211796,7.603421479394459,13.802376977810807,0.3200000000000003,-4.140000000000001,-7.68,6055.0,2.4329502223608013,81.75,13.5
BANTEN,3852.0,818.0,4670.0,46294.0,13410.0,59704.0,1029801.0,209743.0,1239544.0,2.0,3.0,0.0,5.0,15.0,54.0,248.0,317.0,12.0,5.0,1.0,18.0,2.0,7.0,29.0,38.0,378.0,56.53,51.53,55.36,60.16,97.15,90.86,70.07,1546,1259,712,540,128,13.05,13.29,49.15,41.18,99.49,98.5,99.0,Jawa,0.814359637774903,0.46054333764553684,0.34928848641655885,0.08279430789133248,3.7675145053342196,20.76149001741927,0.23999999999999844,-0.9899999999999949,-7.969999999999999,718.0,0.5792452708415352,84.535,13.17
BALI,2250.0,160.0,2410.0,22012.0,2923.0,24935.0,335446.0,46178.0,381624.0,1.0,0.0,4.0,5.0,54.0,104.0,614.0,772.0,3.0,4.0,3.0,10.0,2.0,15.0,62.0,79.0,866.0,,,,,98.43,93.03,76.51,713,313,145,127,43,13.59,13.88,56.2,44.27,98.25,94.58,96.42,Bali-Nusra,0.43899018232819076,0.20336605890603085,0.17812061711079943,0.06030855539971949,6.315116449699181,15.304752356125928,0.2900000000000009,-3.6700000000000017,-11.93,1653.0,4.331488585623545,86.465,13.735
NUSA TENGGARA BARAT,3008.0,366.0,3374.0,43403.0,4024.0,47427.0,478528.0,46505.0,525033.0,1.0,1.0,0.0,2.0,6.0,22.0,109.0,137.0,3.0,1.0,7.0,11.0,3.0,7.0,15.0,25.0,175.0,61.19,56.04,60.04,64.85,98.11,92.95,63.66,1172,940,598,291,67,14.12,13.98,41.8,30.96,94.18,88.06,91.07,Bali-Nusra,0.8020477815699659,0.5102389078498294,0.24829351535836178,0.05716723549488054,6.4262627301522,11.070339679929154,-0.1399999999999988,-6.1200000000000045,-10.839999999999996,325.0,0.6190087099287093,77.365,14.05
NUSA TENGGARA TIMUR,3431.0,1825.0,5256.0,39885.0,17121.0,57006.0,406044.0,235300.0,641344.0,1.0,1.0,2.0,4.0,0.0,2.0,16.0,18.0,3.0,2.0,5.0,10.0,0.0,3.0,21.0,24.0,56.0,62.05,55.84,61.42,65.38,93.41,82.48,43.46,3329,1720,687,346,62,13.33,13.57,35.95,32.87,96.52,95.34,95.92,Bali-Nusra,0.5166716731751276,0.2063682787623911,0.10393511565034545,0.018624211474917392,8.19528989122842,11.250464863347718,0.2400000000000002,-1.1799999999999926,-3.0800000000000054,88.0,0.13721185510428102,69.69,13.45
KALIMANTAN BARAT,4138.0,318.0,4456.0,37167.0,3835.0,41002.0,487662.0,65001.0,552663.0,1.0,0.0,5.0,6.0,17.0,60.0,176.0,253.0,3.0,0.0,3.0,6.0,2.0,74.0,111.0,187.0,452.0,59.85,54.61,59.11,62.95,95.33,81.56,55.58,2080,1160,438,193,60,12.67,13.02,36.45,30.61,97.58,94.57,96.09,Kalimantan,0.5576923076923077,0.21057692307692308,0.09278846153846154,0.028846153846153848,8.062779668622651,13.478927857177698,0.34999999999999964,-3.010000000000005,-5.840000000000003,717.0,1.2973548075409427,75.83500000000001,12.844999999999999
