province,schools_primary_public,schools_primary_private,schools_primary_total,teachers_primary_public,teachers_primary_private,teachers_primary_total,pupils_primary_public,pupils_primary_private,pupils_primary_total,special_library_a,special_library_b,special_library_c,special_library_total,school_library_a,school_library_b,school_library_c,school_library_total,academic_library_a,academic_library_b,academic_library_c,academic_library_total,public_library_a,public_library_b,public_library_c,public_library_total,public_library_all,reading_fondness_level,tgm_pre_reading,tgm_reading,tgm_post_reading,completion_elementary,completion_junior_high,completion_senior_high,villages_primary,villages_junior_high,villages_senior_high,villages_vocational,villages_university,eys_male,eys_female,education_25plus_male,education_25plus_female,literacy_male,literacy_female,literacy_total
KALIMANTAN TENGAH,2410.0,242.0,2652.0,23654.0,2858.0,26512.0,230892.0,46196.0,277088.0,1.0,0.0,0.0,1.0,16.0,25.0,77.0,118.0,1.0,5.0,3.0,9.0,1.0,16.0,46.0,63.0,191.0,56.24,51.25,55.56,59.18,97.47,88.92,63.93,1546,803,280,124,23,12.89,12.78,38.94,34.47,99.48,98.86,99.18
KALIMANTAN SELATAN,2739.0,193.0,2932.0,27329.0,2547.0,29876.0,312010.0,37078.0,349088.0,2.0,2.0,3.0,7.0,24.0,46.0,227.0,297.0,4.0,1.0,12.0,17.0,10.0,12.0,41.0,63.0,384.0,57.1,51.92,56.02,60.69,95.99,88.19,68.35,1874,785,330,112,58,12.89,13.37,41.2,34.71,98.79,96.85,97.82
KALIMANTAN TIMUR,1668.0,287.0,1955.0,23251.0,4346.0,27597.0,352800.0,72773.0,425573.0,5.0,3.0,1.0,9.0,86.0,139.0,88.0,313.0,4.0,3.0,3.0,10.0,15.0,17.0,18.0,50.0,382.0,57.86,52.7,56.21,62.26,97.88,94.85,73.63,1002,560,251,153,48,13.89,14.23,57.95,49.68,99.38,98.52,98.96
KALIMANTAN UTARA,437.0,53.0,490.0,5457.0,713.0,6170.0,70049.0,10787.0,80836.0,1.0,1.0,0.0,2.0,2.0,2.0,20.0,24.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,7.0,34.0,58.89,53.58,57.73,62.65,96.41,88.08,59.5,317,160,64,29,12,13.01,13.74,47.43,44.8,98.67,97.56,98.14
SULAWESI UTARA,1350.0,861.0,2211.0,14623.0,5901.0,20524.0,136974.0,82176.0,219150.0,1.0,0.0,0.0,1.0,5.0,23.0,30.0,58.0,1.0,0.0,0.0,1.0,1.0,4.0,30.0,35.0,95.0,58.75,53.94,57.75,62.05,96.18,92.07,67.57,1565,719,249,181,61,12.81,13.53,49.27,50.6,99.8,99.8,99.8
SULAWESI TENGAH,2675.0,276.0,2951.0,27325.0,2308.0,29633.0,289530.0,29191.0,318721.0,0.0,0.0,3.0,3.0,4.0,13.0,27.0,44.0,2.0,3.0,2.0,7.0,0.0,5.0,42.0,47.0,101.0,59.51,54.1,58.88,62.54,97.56,90.05,55.69,1929,972,346,167,40,13.19,13.85,37.66,35.76,98.87,97.9,98.39
SULAWESI SELATAN,6067.0,401.0,6468.0,65370.0,5918.0,71288.0,800828.0,80037.0,880865.0,5.0,4.0,4.0,13.0,46.0,155.0,179.0,380.0,13.0,7.0,14.0,34.0,3.0,176.0,190.0,369.0,796.0,59.84,54.76,58.81,63.29,98.37,88.74,67.41,2975,1800,844,331,152,13.44,13.91,43.65,40.73,95.98,94.19,95.05
SULAWESI TENGGARA,2266.0,91.0,2357.0,28777.0,1089.0,29866.0,284912.0,15110.0,300022.0,1.0,0.0,3.0,4.0,6.0,32.0,37.0,75.0,2.0,4.0,3.0,9.0,6.0,20.0,43.0,69.0,157.0,58.64,53.43,57.8,61.86,97.83,89.55,68.28,1879,916,414,155,45,13.69,14.0,44.67,39.98,98.45,96.04,97.22
GORONTALO,896.0,36.0,932.0,8415.0,426.0,8841.0,103371.0,5377.0,108748.0,1.0,1.0,0.0,2.0,25.0,44.0,223.0,292.0,5.0,1.0,2.0,8.0,3.0,7.0,92.0,102.0,404.0,59.2,54.18,58.36,62.37,93.69,83.71,46.19,659,362,108,57,15,12.88,13.86,31.37,37.47,98.09,98.99,98.54
SULAWESI BARAT,1297.0,33.0,1330.0,15059.0,389.0,15448.0,138755.0,5314.0,144069.0,0.0,0.0,0.0,0.0,1.0,53.0,240.0,294.0,0.0,2.0,2.0,4.0,2.0,8.0,26.0,36.0,334.0,48.63,44.54,47.95,51.21,95.13,84.04,54.79,632,410,172,112,24,12.79,13.3,36.44,34.23,97.14,94.11,95.62
MALUKU,1311.0,533.0,1844.0,15402.0,3568.0,18970.0,148432.0,53782.0,202214.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,8.0,1.0,1.0,2.0,4.0,1.0,2.0,18.0,21.0,33.0,57.38,51.94,57.05,59.94,98.69,93.9,75.01,1112,624,276,104,43,13.93,14.46,56.38,54.61,99.6,99.1,99.35
MALUKU UTARA,1133.0,199.0,1332.0,12447.0,1323.0,13770.0,116699.0,21799.0,138498.0,1.0,0.0,0.0,1.0,0.0,10.0,66.0,76.0,1.0,2.0,0.0,3.0,0.0,14.0,36.0,50.0,130.0,60.66,55.61,60.26,63.2,98.3,93.46,64.61,1092,630,301,143,25,13.81,13.76,45.39,40.28,99.26,98.46,98.86
PAPUA BARAT,407.0,177.0,584.0,4322.0,1500.0,5822.0,46967.0,23216.0,70183.0,0.0,0.0,0.0,0.0,5.0,4.0,10.0,19.0,1.0,1.0,1.0,3.0,0.0,4.0,9.0,13.0,35.0,50.77,46.13,50.92,52.38,92.69,88.63,59.99,502,150,61,18,15,13.21,13.2,54.68,46.1,98.67,97.17,97.96
PAPUA BARAT DAYA,313.0,251.0,564.0,3823.0,1665.0,5488.0,37066.0,24331.0,61397.0,0.0,2.0,0.0,2.0,1.0,5.0,34.0,40.0,2.0,0.0,0.0,2.0,0.0,3.0,11.0,14.0,58.0,,,,,,,,457,170,82,35,18,13.73,14.03,62.26,55.35,98.9,98.23,98.58
PAPUA,500.0,353.0,853.0,5051.0,2825.0,7876.0,68799.0,48911.0,117710.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,6.0,3.0,1.0,1.0,5.0,0.0,0.0,4.0,4.0,17.0,51.12,46.79,48.77,56.24,80.09,67.12,39.5,643,239,110,44,25,13.66,14.13,63.01,55.73,98.99,97.76,98.39
PAPUA SELATAN,381.0,235.0,616.0,3139.0,1637.0,4776.0,57928.0,38080.0,96008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,544,113,38,24,10,12.92,12.56,45.76,37.8,97.11,93.31,95.27
PAPUA TENGAH,292.0,268.0,560.0,3370.0,2332.0,5702.0,72584.0,73386.0,145970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,421,139,47,32,21,9.71,9.44,31.08,26.68,86.48,85.07,85.82
PAPUA PEGUNUNGAN,516.0,163.0,679.0,3604.0,1095.0,4699.0,109588.0,34402.0,143990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,510,160,49,17,8,9.96,10.1,21.0,12.32,71.88,64.38,68.32
