province,schools_primary_public,schools_primary_private,schools_primary_total,teachers_primary_public,teachers_primary_private,teachers_primary_total,pupils_primary_public,pupils_primary_private,pupils_primary_total,special_library_a,special_library_b,special_library_c,special_library_total,school_library_a,school_library_b,school_library_c,school_library_total,academic_library_a,academic_library_b,academic_library_c,academic_library_total,public_library_a,public_library_b,public_library_c,public_library_total,public_library_all,reading_fondness_level,tgm_pre_reading,tgm_reading,tgm_post_reading,completion_elementary,completion_junior_high,completion_senior_high,villages_primary,villages_junior_high,villages_senior_high,villages_vocational,villages_university,eys_male,eys_female,education_25plus_male,education_25plus_female,literacy_male,literacy_female,literacy_total
DKI JAKARTA,1305.0,918.0,2223.0,22974.0,15697.0,38671.0,527062.0,211719.0,738781.0,28,20,6,54,70,75,403,548,27,13,2,42,10,18,43,71,715,57.23,51.41,55.61,61.89,98.66,95.85,88.1,264,254,219,209,128,13.65,13.91,71.89,64.7,99.81,99.61,99.71
JAWA BARAT,16936.0,2634.0,19570.0,174913.0,41699.0,216612.0,3902286.0,645996.0,4548282.0,19,10,7,36,80,105,762,947,43,29,18,90,14,22,20,56,1129,59.19,53.93,57.81,63.24,99.09,91.42,66.47,5946,4356,2255,2051,481,12.9,13.16,44.8,36.54,99.43,98.35,98.9
JAWA TENGAH,17140.0,1366.0,18506.0,148125.0,19434.0,167559.0,2253391.0,324853.0,2578244.0,12,6,6,24,464,492,843,1799,40,16,14,70,33,223,532,788,2681,57.11,52.18,55.87,60.84,98.42,90.64,58.35,8422,3701,1377,1185,294,12.96,13.15,33.21,28.74,97.1,93.36,95.2
DI YOGYAKARTA,1414.0,424.0,1838.0,14295.0,5856.0,20151.0,179962.0,83093.0,263055.0,5,6,3,14,442,119,390,951,26,15,15,56,18,37,74,129,1150,55.44,50.63,54.12,59.25,98.95,97.02,89.69,437,312,151,138,66,15.73,15.86,57.19,52.67,97.84,94.11,95.93
JAWA TIMUR,16790.0,2133.0,18923.0,153548.0,26765.0,180313.0,2079218.0,409530.0,2488748.0,9,3,9,21,542,348,1754,2644,54,24,27,105,21,248,246,515,3285,58.86,53.62,57.9,62.29,98.78,90.74,68.65,8442,4961,2620,1698,465,13.34,13.66,39.26,31.58,96.96,92.82,94.85
BANTEN,3852.0,818.0,4670.0,46294.0,13410.0,59704.0,1029801.0,209743.0,1239544.0,2,3,–,5,15,54,248,317,12,5,1,18,2,7,29,38,378,56.53,51.53,55.36,60.16,97.15,90.86,70.07,1546,1259,712,540,128,13.05,13.29,49.15,41.18,99.49,98.5,99.0
BALI,2250.0,160.0,2410.0,22012.0,2923.0,24935.0,335446.0,46178.0,381624.0,1,–,4,5,54,104,614,772,3,4,3,10,2,15,62,79,866,–,–,–,–,98.43,93.03,76.51,713,313,145,127,43,13.59,13.88,56.2,44.27,98.25,94.58,96.42
NUSA TENGGARA BARAT,3008.0,366.0,3374.0,43403.0,4024.0,47427.0,478528.0,46505.0,525033.0,1,1,–,2,6,22,109,137,3,1,7,11,3,7,15,25,175,61.19,56.04,60.04,64.85,98.11,92.95,63.66,1172,940,598,291,67,14.12,13.98,41.8,30.96,94.18,88.06,91.07
NUSA TENGGARA TIMUR,3431.0,1825.0,5256.0,39885.0,17121.0,57006.0,406044.0,235300.0,641344.0,1,1,2,4,–,2,16,18,3,2,5,10,–,3,21,24,56,62.05,55.84,61.42,65.38,93.41,82.48,43.46,3329,1720,687,346,62,13.33,13.57,35.95,32.87,96.52,95.34,95.92
KALIMANTAN BARAT,4138.0,318.0,4456.0,37167.0,3835.0,41002.0,487662.0,65001.0,552663.0,1,–,5,6,17,60,176,253,3,–,3,6,2,74,111,187,452,59.85,54.61,59.11,62.95,95.33,81.56,55.58,2080,1160,438,193,60,12.67,13.02,36.45,30.61,97.58,94.57,96.09
