region,education_25plus_male,education_25plus_female
Kota Bandung,68.81,63.44
Kota Cirebon,57.46,51.13
Kota Bekasi,75.84,70.82
Kota Depok,76.71,66.91
Kota Cimahi,64.34,60.38
Kota Tasikmalaya,42.55,39.22
Kota Banjar,34.28,31.77
JAWA TENGAH,33.21,28.74
Cilacap,26.25,23.75
Banyumas,31.97,30.34
Purbalingga,21.95,19.52
Banjarnegara,22.87,18.07
Kebumen,33.59,24.65
Purworejo,42.84,34.49
Wonosobo,16.18,15.48
Magelang,31.9,27.31
Boyolali,38.21,33.67
Klaten,48.2,42.67
Sukoharjo,52.14,50.35
Wonogiri,30.4,23.62
Karanganyar,39.76,34.2
Sragen,36.57,30.35
Grobogan,23.5,16
Blora,31.78,27.3
Rembang,30.18,22.51
Pati,35.32,27.18
Kudus,44.55,41.65
Jepara,22.72,23.12
Demak,30.47,26.95
Semarang,34.49,29.63
Temanggung,24.48,21.35
Kendal,33.63,27.34
Batang,22.28,20.95
Pekalongan,23.87,21.94
Pemalang,19.52,14.26
Tegal,23.49,17.69
Brebes,19.37,15.65
Kota Magelang,67.49,63.98
Kota Surakarta,62.9,59.98
Kota Salatiga,61.52,54.53
Kota Semarang,67.64,59.68
Kota Pekalongan,38.68,38.01
Kota Tegal,41.07,40.2
D I YOGYAKARTA,57.19,52.67
Kulon Progo,48.36,44.49
Bantul,59.36,56.35
Gunung Kidul,33.33,28.04
Sleman,69.07,63.82
Kota Yogyakarta,71.86,70.89
JAWA TIMUR,39.26,31.58
Pacitan,27.23,23
Ponorogo,32.58,28.29
Trenggalek,27.57,26.68
Tulungagung,32.41,29.71
Blitar,31.89,28.36
Kediri,35.53,28.38
Malang,32.99,26.19
Lumajang,23.9,17.72
Jember,23.54,18.86
Banyuwangi,34.23,24.68
Bondowoso,26.61,19.44
Situbondo,33.57,22.96
Probolinggo,27.68,16.48
Pasuruan,30.66,20.53
Sidoarjo,69.87,57.45
Mojokerto,45.1,32.66
Jombang,41.7,33.7
Nganjuk,33.67,28.47
Madiun,36.48,31.24
Magetan,42.07,35.7
Ngawi,34.08,27.51
Bojonegoro,31.59,23.87
Tuban,27,20.29
Lamongan,42.84,32.54
Gresik,55.56,50.29
Bangkalan,24.76,14.84
Sampang,20.8,10.74
Pamekasan,35.96,22.4
Sumenep,31.36,20.65
Kota Kediri,65.49,58.21
Kota Blitar,60.63,57.83
Kota Malang,67.79,63.04
Kota Probolinggo,53.74,45.01
Kota Pasuruan,54.26,49.79
Kota Mojokerto,72.93,63.82
Kota Madiun,74.46,67.91
Kota Surabaya,67.61,61.87
Kota Batu,47.07,46.88
BANTEN,49.15,41.18
Pandeglang,27.12,20.13
Lebak,18.12,11.35
Tangerang,44.71,37.34
Serang,32.64,22.59
Kota Tangerang,70.68,64.64
Kota Cilegon,62.55,49.67
Kota Serang,40.72,33.06
Kota Tangerang Selatan,76.45,68.12
BALI,56.2,44.27
Jembrana,42.01,32.99
Tabanan,59.45,43.69
Badung,73.37,60.09
Gianyar,60.72,47.28
Klungkung,44.09,29.89
Bangli,34.7,25.87
Karangasem,36.83,20.59
Buleleng,40.35,26.81
Kota Denpasar,68.39,64.56
NUSA TENGGARA BARAT,41.8,30.96
Lombok Barat,32.04,23.28
Lombok Tengah,37.44,25.21
Lombok Timur,35.6,25.49
Sumbawa,43.38,33.32
Dompu,51.04,42.58
Bima,47.03,39.82
Sumbawa Barat,51.86,39.45
Lombok Utara,32.23,19.44
Kota Mataram,59.08,43.84
Kota Bima,64.14,57.76
NUSA TENGGARA TIMUR,35.95,32.87
Sumba Barat,35.33,33.43
Sumba Timur,32.93,34.45
Kupang,37.53,28.52
Timor Tengah Selatan,31.81,28.45
Timor Tengah Utara,37.85,36.89
Belu,28.27,29.27
Alor,41.09,33.16
Lembata,39.32,29.87
Flores Timur,35.38,32.53
Sikka,31.66,29.92
Ende,43.24,35.61
Ngada,31.93,30.27
Manggarai,32.73,28.82
Rote Ndao,30.95,25.4
Manggarai Barat,32.76,26.03
Sumba Tengah,33.21,32.65
Sumba Barat Daya,31.49,29.41
Nagekeo,33.08,32.2
Manggarai Timur,25.32,22.93
Sabu Raijua,20.73,26
Malaka,29.48,31.06
Kota Kupang,63.11,64.85
KALIMANTAN BARAT,36.45,30.61
Sambas,28.31,22.84
Bengkayang,32.46,28.21
Landak,36.01,28.28
Mempawah,31.87,27.18
Sanggau,35.4,26.98
Ketapang,33.14,24.58
Sintang,31.76,28.16
Kapuas Hulu,33.64,23.56
Sekadau,32.81,20.9
Melawi,36.04,28.85
Kayong Utara,25.83,18.49
Kubu Raya,31.62,27.56
Kota Pontianak,59.73,56.4
Kota Singkawang,42.86,40.85
KALIMANTAN TENGAH,38.94,34.47
Kotawaringin Barat,39.25,37.18
Kotawaringin Timur,34.92,28.74
Kapuas,33.3,25.99
Barito Selatan,46.83,38.08
Barito Utara,38.79,32.17
Sukamara,31.34,29.19
Lamandau,30.93,25.87
Seruyan,32.71,26.1
Katingan,31.92,30.01
Pulang Pisau,32.1,29.51
Gunung Mas,37.06,35.68
Barito Timur,47.54,42.81
Murung Raya,32.51,26.94
Kota Palangka Raya,64.26,62.73
KALIMANTAN SELATAN,41.2,34.71
Tanah Laut,31.77,26.23
Kotabaru,33.8,27.84
Banjar,38,29.85
Barito Kuala,34.42,26.22
Tapin,38.77,28.44
Hulu Sungai Selatan,33.38,29.4
Hulu Sungai Tengah,34.74,29.33
Hulu Sungai Utara,30.2,27.36
Tabalong,48.71,43.22
Tanah Bumbu,35.43,25.94
Balangan,42.29,33.7
Kota Banjarmasin,55.85,50.89
Kota Banjar Baru,63.98,57.69
KALIMANTAN TIMUR,57.95,49.68
Paser,45.67,40.2
Kutai Barat,48.32,39.84
Kutai Kartanegara,47.9,38.18
Kutai Timur,48.09,38.78
Berau,54.32,43.73
Penajam Paser Utara,43.03,38.46
Mahakam Ulu,46.3,37
Kota Balikpapan,70.74,61.41
Kota Samarinda,70.38,61.53
Kota Bontang,69.81,65.29
KALIMANTAN UTARA,47.43,44.8
Malinau,51.69,40.9
Bulungan,47.47,44.89
Tana Tidung,50,42.87
Nunukan,33.81,32.53
Kota Tarakan,56.73,56.12
SULAWESI UTARA,49.27,50.6
Bolaang Mongondow,28.42,26.96
Minahasa,58.14,58.7
Kepulauan Sangihe,39.07,40.85
Kepulauan Talaud,47.8,43.27
Minahasa Selatan,44.74,46.31
Minahasa Utara,52.03,54.37
Bolaang Mongondow Utara,32.13,38.97
Siau Tagulandang Biaro,47.79,50.69
Minahasa Tenggara,34.28,35.55
Bolaang Mongondow Selatan,30.16,34.91
Bolaang Mongondow Timur,29.32,31.24
Kota Manado,68.3,70.09
Kota Bitung,56.85,53.03
Kota Tomohon,54.88,60.53
Kota Kotamobagu,47.88,49.84
SULAWESI TENGAH,37.66,35.76
Banggai Kepulauan,38.65,34.11
Banggai,38.43,31.5
Morowali,39,33.33
Poso,45.88,43.32
Donggala,25.35,22.62
Toli-Toli,35,35.48
Buol,38.07,38.63
Parigi Moutong,28.9,28.16
Tojo Una-Una,28.69,32.32
Sigi,35.3,32.61
Banggai Laut,32.65,28.55
Morowali Utara,36.91,34.36
Kota Palu,58.64,59.74
SULAWESI SELATAN,43.65,40.73
Kepulauan Selayar,39.41,40.4
Bulukumba,38.68,39.47
Bantaeng,34.79,35.26
Jeneponto,29.78,24.46
Takalar,36.07,31.91
Gowa,44.15,38.71
Sinjai,32.65,33.1
Maros,46.59,38.29
Pangkajene dan Kepulauan,37.42,31.47
Barru,35.75,39.6
Bone,27,29.17
Soppeng,36.21,42.77
Wajo,31.36,23.53
Sidenreng Rappang,33.7,35.88
Pinrang,35.26,32.49
Enrekang,49.42,44.69
Luwu,40.56,42.44
Tana Toraja,48.06,47.43
Luwu Utara,38.63,33.98
Luwu Timur,43.16,40.76
Toraja Utara,47.08,42.07
Kota Makasar,67.39,62.72
Kota Parepare,59.98,59.31
Kota Palopo,60.9,60.85
SULAWESI TENGGARA,44.67,39.98
Buton,37.33,30.37
Muna,44.92,32.59
Konawe,43.9,43.32
Kolaka,44.18,40.32
Konawe Selatan,35.49,30
Bombana,36.13,30.97
Wakatobi,34.7,29.7
Kolaka Utara,39.04,42.58
Buton Utara,43.11,39.52
Konawe Utara,46.47,39.41
Kolaka Timur,34.37,33.43
Konawe Kepulauan,48,37.38
Muna Barat,35.65,28.96
Buton Tengah,30.45,28.15
Buton Selatan,31.27,26.2
Kota Kendari,67.47,61.62
Kota Baubau,59.88,57.93
GORONTALO,31.37,37.47
Boalemo,23.49,28.65
Gorontalo,25.56,35.11
Pohuwato,26.19,26.83
Bone Bolango,32.05,39.98
Gorontalo Utara,22.78,30.41
Kota Gorontalo,55.52,56.79
SULAWESI BARAT,36.44,34.23
Majene,42.85,44.6
Polewali Mandar,32.21,29.58
Mamasa,42.86,41.2
Mamuju,41.06,39.72
Mamuju Utara / Pasangkayu,31.08,26.32
Mamuju Tengah,32.04,26.62
MALUKU,56.38,54.61
Maluku Tenggara Barat / Kepulauan Tanimbar,45.45,40.92
Maluku Tenggara,49.31,47.51
Maluku Tengah,55.27,57.51
Buru,48.15,42.36
Kepulauan Aru,42.03,36.84
Seram Bagian Barat,39.84,40.2
Seram Bagian Timur,45.87,38.04
Maluku Barat Daya,44.63,38.1
Buru Selatan,44.44,39.17
Kota Ambon,76.57,75.68
Kota Tual,56.41,51.18
MALUKU UTARA,45.39,40.28
Halmahera Barat,33.41,34.56
Halmahera Tengah,43.19,33.82
Kepulauan Sula,43.05,36.26
Halmahera Selatan,32.22,27.7
Halmahera Utara,39.62,36.42
Halmahera Timur,40.7,33.64
Pulau Morotai,38.09,28.65
Pulau Taliabu,30.17,27.24
Kota Ternate,75.08,65.97
Kota Tidore Kepulauan,50.09,47.35
PAPUA BARAT,54.68,46.1
Fakfak,55.54,50.44
Kaimana,53.3,44.73
Teluk Wondama,53.9,42.03
Teluk Bintuni,55.82,48.92
Manokwari,55.95,48.48
Sorong Selatan,-,-
Sorong,-,-
Raja Ampat,-,-
Tambrauw,-,-
Maybrat,-,-
Manokwari Selatan,61.42,42.69
Pegunungan Arfak,43.62,29.72
Kota Sorong,-,-
PAPUA BARAT DAYA,62.26,55.35
Raja Ampat,47.33,39.75
Sorong,51.01,42.88
Sorong Selatan,45.78,34.91
Maybrat,62.41,49.67
Tambrauw,50.41,38.79
Kota Sorong,71.92,66.96
PAPUA,63.01,55.73
Merauke,-,-
Jayawijaya,-,-
Jayapura,65.46,59.39
Nabire,-,-
